method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,study_slice
bm25,minilm,5,5,4,1.398759987205267,1.2625000672414899,0.8,0.56,0.7276190476190476,1.0,0.9,0.714,0.7561904761904762,0.8005717309034502,1.2,1,english_latent_intent
hybrid,minilm,5,5,5,31.62923997733742,31.724500004202127,1.0,0.48,0.6857142857142857,1.0,1.0,0.6733333333333333,0.7428571428571429,0.772552757102881,1,1,english_latent_intent
semantic,minilm,5,5,5,32.97993999440223,31.784399994648993,1.0,0.48,0.6857142857142857,1.0,1.0,0.6866666666666666,0.7428571428571429,0.7814339895224249,1,1,english_latent_intent
hybrid,multilingual,5,5,4,61.71141997911036,59.798200032673776,0.8,0.52,0.6723809523809524,1.0,0.9,0.6313333333333333,0.700952380952381,0.7336803436853839,1.2,1,english_latent_intent
semantic,multilingual,5,5,4,63.8048600172624,60.44210004620254,0.8,0.36,0.5123809523809524,1.0,0.9,0.48733333333333334,0.5123809523809524,0.60448503920618,1.2,1,english_latent_intent
bm25,minilm,5,5,4,0.6530800135806203,0.6955000571906567,0.8,0.48,0.659047619047619,1.0,0.9,0.63,0.6876190476190476,0.7386849987808728,1.2,1,turkish_latent_intent
hybrid,minilm,5,5,5,34.97689999639988,35.74700001627207,1.0,0.52,0.7142857142857143,1.0,1.0,0.7126666666666667,0.7714285714285715,0.8047023505588203,1,1,turkish_latent_intent
semantic,minilm,5,5,5,32.17569999396801,32.28709998074919,1.0,0.48000000000000004,0.6742857142857143,1.0,1.0,0.6753333333333333,0.7314285714285714,0.769580102636808,1,1,turkish_latent_intent
hybrid,multilingual,5,5,5,64.23887996934354,64.98020002618432,1.0,0.4,0.5523809523809524,1.0,1.0,0.5413333333333333,0.6095238095238096,0.6693444257948303,1,1,turkish_latent_intent
semantic,multilingual,5,5,4,71.32856003008783,59.61779993958771,0.8,0.32,0.4723809523809524,1.0,0.9,0.4633333333333333,0.4723809523809524,0.5782440237037116,1.2,1,turkish_latent_intent
