method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
bm25,minilm,2,2,0,1.3833000120939687,1.3833000120939687,0.0,0.4,0.6666666666666666,1.0,0.5,0.36111111111111105,0.5,0.5144552657218282,2,2.0,audio_security
hybrid,minilm,2,2,1,262.9540499910945,262.9540499910945,0.5,0.6,1.0,1.0,0.75,0.7777777777777777,0.6666666666666666,0.8501483019834801,1.5,1.5,audio_security
semantic,minilm,2,2,2,208.63200000894722,208.63200000894722,1.0,0.5,0.8333333333333333,1.0,1.0,0.7916666666666666,0.6666666666666666,0.8664143102388955,1,1.0,audio_security
bm25,minilm,2,2,2,1.450650001061149,1.450650001061149,1.0,0.4,0.5,1.0,1.0,0.3833333333333333,0.375,0.5634848716040297,1,1.0,business
hybrid,minilm,2,2,2,266.6485499939881,266.6485499939881,1.0,0.5,0.625,1.0,1.0,0.4770833333333333,0.5,0.6475486397395884,1,1.0,business
semantic,minilm,2,2,2,256.32890000997577,256.32890000997577,1.0,0.5,0.625,1.0,1.0,0.5833333333333333,0.625,0.7087212693585175,1,1.0,business
bm25,minilm,2,2,2,1.174950011773035,1.174950011773035,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1.0,climate_opinion
hybrid,minilm,2,2,2,377.4975499982247,377.4975499982247,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1.0,climate_opinion
semantic,minilm,2,2,2,269.9144499929389,269.9144499929389,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1.0,climate_opinion
bm25,minilm,2,2,1,1.5579500031890348,1.5579500031890348,0.5,0.7,0.5,1.0,0.75,0.5133333333333333,0.7142857142857143,0.6578242262397573,1.5,1.5,computer_vision
hybrid,minilm,2,2,2,271.5405500057386,271.5405500057386,1.0,0.6,0.42857142857142855,1.0,1.0,0.575,0.5714285714285714,0.710970696247901,1,1.0,computer_vision
semantic,minilm,2,2,2,251.53554999269545,251.53554999269545,1.0,0.6,0.42857142857142855,1.0,1.0,0.6,0.5,0.7227265726449519,1,1.0,computer_vision
bm25,minilm,12,12,12,1.73680833055793,1.7017999925883487,1.0,0.5166666666666666,0.9444444444444444,1.0,1.0,0.9212962962962963,0.8888888888888888,0.9452310120872174,1,1.0,earth_science
hybrid,minilm,12,12,12,420.54348333234276,415.82715000549797,1.0,0.5333333333333333,0.9722222222222222,1.0,1.0,0.9583333333333334,0.9305555555555556,0.9737567855114008,1,1.0,earth_science
semantic,minilm,12,12,11,374.33506666275207,322.0296999934362,0.9166666666666666,0.5333333333333333,0.9722222222222222,1.0,0.9583333333333334,0.923611111111111,0.8888888888888888,0.94820898581284,1.0833333333333333,1.0,earth_science
bm25,minilm,2,2,0,1.4406499976757914,1.4406499976757914,0.0,0.30000000000000004,0.25,1.0,0.26666666666666666,0.10333333333333333,0.3333333333333333,0.22342676499592815,4,4.0,finance
hybrid,minilm,2,2,0,327.4760499916738,327.4760499916738,0.0,0.5,0.41666666666666663,1.0,0.5,0.3083333333333333,0.5,0.45660054229268887,2,2.0,finance
