query_id,query,category,method,profile,source_filter,top_k,relevant_count,hits,latency_ms,first_relevant_rank,precision_at_1,precision_at_k,recall_at_k,hit_rate_at_k,mrr,ap_at_k,r_precision,ndcg_at_k,retrieved_refs,hit_refs,benchmark,query_style,language,study_slice,topic
si001,rainy weather data,weather_climate,semantic,minilm_ft,all,5,7,3,50.68550002761185,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.6,0.5714285714285714,0.7227265726449519,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | tdiggelm/climate_fever | orvile/weather-related-disease-prediction-dataset,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si001,rainy weather data,weather_climate,hybrid,minilm_ft,all,5,7,5,28.40529999230057,1,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,0.7142857142857143,1.0,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si002,storm records and forecasts,weather_climate,semantic,minilm_ft,all,5,5,3,27.306800009682775,1,1.0,0.6,0.6,1.0,1.0,0.6,0.6,0.7227265726449519,wafaaelhusseini/major-cities-weather-data | noaa/noaa-severe-weather-data-inventory | wafaaelhusseini/capital-weather-data-1995-2024 | tdiggelm/climate_fever | orvile/weather-related-disease-prediction-dataset,wafaaelhusseini/major-cities-weather-data | noaa/noaa-severe-weather-data-inventory | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si002,storm records and forecasts,weather_climate,hybrid,minilm_ft,all,5,5,4,31.373500009067357,1,1.0,0.8,0.8,1.0,1.0,0.76,0.8,0.8539316501572937,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | wafaaelhusseini/major-cities-weather-data | orvile/weather-related-disease-prediction-dataset | wafaaelhusseini/capital-weather-data-1995-2024,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si003,flood runoff monitoring,hydrology,semantic,minilm_ft,all,5,3,3,26.06010006275028,1,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | catalystcooperative/pudl-project | noaa/noaa-severe-weather-data-inventory | lamnguyentran6/lamnguyenday-dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si003,flood runoff monitoring,hydrology,hybrid,minilm_ft,all,5,3,3,27.40520006045699,1,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | catalystcooperative/pudl-project | noaa/noaa-severe-weather-data-inventory | ammarfahmy/farmaciavernile-large-user-data,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si004,drought and climate history,climate_variability,semantic,minilm_ft,all,5,5,4,28.59210001770407,1,1.0,0.8,0.8,1.0,1.0,0.71,0.8,0.830419897363192,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | tdiggelm/climate_fever | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si004,drought and climate history,climate_variability,hybrid,minilm_ft,all,5,5,4,30.945800011977553,1,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | eeemonts/weatherclimate-data-covid19,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si005,sea and ocean conditions data,ocean_climate,semantic,minilm_ft,all,5,1,1,30.250699957832694,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | coastalcph/lex_glue | antgoldbloom/us-college-sailing-results | oinuma/japan-meteorological-agency-forecast | chemrovkirill/hms-effnetb0-18melstft,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si005,sea and ocean conditions data,ocean_climate,hybrid,minilm_ft,all,5,1,1,35.063000046648085,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | asaniczka/public-opinion-on-climate-change-updated-daily | oinuma/japan-meteorological-agency-forecast | jerismeteo/open-meteo-data-kebumen | coastalcph/lex_glue,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
