query_id,query,category,method,profile,source_filter,top_k,relevant_count,hits,latency_ms,first_relevant_rank,precision_at_1,precision_at_k,recall_at_k,hit_rate_at_k,mrr,ap_at_k,r_precision,ndcg_at_k,retrieved_refs,hit_refs,benchmark,query_style,language,study_slice,topic
si001,rainy weather data,weather_climate,semantic,minilm,all,5,7,3,49.630300025455654,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.55,0.7142857142857143,0.6992148198508501,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | orvile/weather-related-disease-prediction-dataset,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si001,rainy weather data,weather_climate,hybrid,minilm,all,5,7,3,27.358299936167896,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.55,0.7142857142857143,0.6992148198508501,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | orvile/weather-related-disease-prediction-dataset,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si002,storm records and forecasts,weather_climate,semantic,minilm,all,5,5,2,30.605899984948337,1,1.0,0.4,0.4,1.0,1.0,0.4,0.4,0.5531464700081437,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | orvile/weather-related-disease-prediction-dataset | leopiney/worldclim-version-2-temperature-10m,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si002,storm records and forecasts,weather_climate,hybrid,minilm,all,5,5,2,32.10339997895062,1,1.0,0.4,0.4,1.0,1.0,0.3333333333333333,0.4,0.5087403079104241,noaa/noaa-severe-weather-data-inventory | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | orvile/weather-related-disease-prediction-dataset | tombutton/uk-weather-by-month,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si003,flood runoff monitoring,hydrology,semantic,minilm,all,5,3,3,30.72979999706149,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory | catalystcooperative/pudl-project | Sakil/DPO_dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si003,flood runoff monitoring,hydrology,hybrid,minilm,all,5,3,3,27.517399983480573,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory | catalystcooperative/pudl-project | samoilovmikhail/ocean-buoys-data-1980-2025,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si004,drought and climate history,climate_variability,semantic,minilm,all,5,5,3,34.945900086313486,1,1.0,0.6,0.6,1.0,1.0,0.4833333333333333,0.6,0.6548086577531307,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | noaa/noaa-severe-weather-data-inventory,leopiney/worldclim-version-2-temperature-10m | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si004,drought and climate history,climate_variability,hybrid,minilm,all,5,5,3,30.72280006017536,1,1.0,0.6,0.6,1.0,1.0,0.4833333333333333,0.6,0.6548086577531307,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen,leopiney/worldclim-version-2-temperature-10m | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si005,sea and ocean conditions data,ocean_climate,semantic,minilm,all,5,1,1,35.78089992515743,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen | tombutton/uk-weather-by-month | sankalp102/albone-dataset,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si005,sea and ocean conditions data,ocean_climate,hybrid,minilm,all,5,1,1,31.919999979436398,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | nelgiriyewithana/indian-weather-repository-daily-snapshot,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si006,yağmurlu hava verisi,weather_climate,semantic,minilm,all,5,7,4,32.325200038030744,1,1.0,0.8,0.5714285714285714,1.0,1.0,0.6433333333333333,0.8571428571428571,0.7860137352654724,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | nelgiriyewithana/indian-weather-repository-daily-snapshot | noaa/noaa-severe-weather-data-inventory | jerismeteo/open-meteo-data-kebumen,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | noaa/noaa-severe-weather-data-inventory | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,tr,turkish_latent_intent,weather_conditions
si006,yağmurlu hava verisi,weather_climate,hybrid,minilm,all,5,7,4,32.62389998417348,1,1.0,0.8,0.5714285714285714,1.0,1.0,0.6433333333333333,0.8571428571428571,0.7860137352654724,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen | wafaaelhusseini/capital-weather-data-1995-2024,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,tr,turkish_latent_intent,weather_conditions
si007,fırtına ve hava tahmin geçmişi,weather_climate,semantic,minilm,all,5,5,2,35.33500002231449,1,1.0,0.4,0.4,1.0,1.0,0.3333333333333333,0.4,0.5087403079104241,noaa/noaa-severe-weather-data-inventory | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | orvile/weather-related-disease-prediction-dataset,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,tr,turkish_latent_intent,storm_forecast_history
si007,fırtına ve hava tahmin geçmişi,weather_climate,hybrid,minilm,all,5,5,2,34.91470008157194,1,1.0,0.4,0.4,1.0,1.0,0.4,0.4,0.5531464700081437,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,tr,turkish_latent_intent,storm_forecast_history
si008,sel ve akış takibi verisi,hydrology,semantic,minilm,all,5,3,3,32.21139998640865,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory | catalystcooperative/pudl-project | Sakil/DPO_dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,tr,turkish_latent_intent,flood_hydrology
si008,sel ve akış takibi verisi,hydrology,hybrid,minilm,all,5,3,3,31.50490007828921,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory | samoilovmikhail/ocean-buoys-data-1980-2025 | yifanxie/telstra-competition-dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,tr,turkish_latent_intent,flood_hydrology
si009,kuraklık ve iklim geçmişi,climate_variability,semantic,minilm,all,5,5,2,33.416699967347085,1,1.0,0.4,0.4,1.0,1.0,0.4,0.4,0.5531464700081437,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | noaa/noaa-severe-weather-data-inventory,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,tr,turkish_latent_intent,drought_climate_history
si009,kuraklık ve iklim geçmişi,climate_variability,hybrid,minilm,all,5,5,3,33.26439997181296,1,1.0,0.6,0.6,1.0,1.0,0.52,0.6,0.6843515475204855,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | wafaaelhusseini/capital-weather-data-1995-2024,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,tr,turkish_latent_intent,drought_climate_history
si010,deniz ve okyanus koşulları verisi,ocean_climate,semantic,minilm,all,5,1,1,38.5055000660941,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | sankalp102/albone-dataset | jerismeteo/open-meteo-data-kebumen,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,tr,turkish_latent_intent,marine_proxy
si010,deniz ve okyanus koşulları verisi,ocean_climate,hybrid,minilm,all,5,1,1,35.37930001039058,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen | tombutton/uk-weather-by-month | nelgiriyewithana/indian-weather-repository-daily-snapshot,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,tr,turkish_latent_intent,marine_proxy
si001,rainy weather data,weather_climate,semantic,minilm_ft,all,5,7,3,39.08300003968179,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.6,0.5714285714285714,0.7227265726449519,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | tdiggelm/climate_fever | orvile/weather-related-disease-prediction-dataset,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si001,rainy weather data,weather_climate,hybrid,minilm_ft,all,5,7,5,27.238800073973835,1,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,0.7142857142857143,1.0,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si002,storm records and forecasts,weather_climate,semantic,minilm_ft,all,5,5,3,27.35620003659278,1,1.0,0.6,0.6,1.0,1.0,0.6,0.6,0.7227265726449519,wafaaelhusseini/major-cities-weather-data | noaa/noaa-severe-weather-data-inventory | wafaaelhusseini/capital-weather-data-1995-2024 | tdiggelm/climate_fever | orvile/weather-related-disease-prediction-dataset,wafaaelhusseini/major-cities-weather-data | noaa/noaa-severe-weather-data-inventory | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si002,storm records and forecasts,weather_climate,hybrid,minilm_ft,all,5,5,4,28.806200018152595,1,1.0,0.8,0.8,1.0,1.0,0.76,0.8,0.8539316501572937,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | wafaaelhusseini/major-cities-weather-data | orvile/weather-related-disease-prediction-dataset | wafaaelhusseini/capital-weather-data-1995-2024,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si003,flood runoff monitoring,hydrology,semantic,minilm_ft,all,5,3,3,26.13849996123463,1,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | catalystcooperative/pudl-project | noaa/noaa-severe-weather-data-inventory | lamnguyentran6/lamnguyenday-dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si003,flood runoff monitoring,hydrology,hybrid,minilm_ft,all,5,3,3,29.067300027236342,1,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | catalystcooperative/pudl-project | noaa/noaa-severe-weather-data-inventory | ammarfahmy/farmaciavernile-large-user-data,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si004,drought and climate history,climate_variability,semantic,minilm_ft,all,5,5,4,27.24049997050315,1,1.0,0.8,0.8,1.0,1.0,0.71,0.8,0.830419897363192,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | tdiggelm/climate_fever | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si004,drought and climate history,climate_variability,hybrid,minilm_ft,all,5,5,4,31.428700080141425,1,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | eeemonts/weatherclimate-data-covid19,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
