method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,topic
bm25,minilm,4,4,2,3.601174998038914,4.0195500041591,0.5,0.35000000000000003,0.875,1.0,0.75,0.7083333333333333,0.75,0.7700698027129531,1.5,1.5,amazon_reviews
hybrid,minilm,4,2,0,2999.2195000013453,3025.703050006996,0.0,0.1,0.25,0.5,0.20833333333333331,0.10416666666666666,0.125,0.1733566009043177,2.5,2.5,amazon_reviews
semantic,minilm,4,2,0,2732.673624996096,2738.464149995707,0.0,0.1,0.25,0.5,0.14583333333333331,0.07291666666666666,0.0,0.14266042973883003,3.5,3.5,amazon_reviews
bm25,minilm,2,2,1,8.738200005609542,8.738200005609542,0.5,0.2,1.0,1.0,0.625,0.625,0.5,0.7153382790366966,2.5,2.5,climate_change
hybrid,minilm,2,0,0,3375.675150004099,3375.675150004099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,climate_change
semantic,minilm,2,0,0,3152.956500009168,3152.956500009168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,climate_change
bm25,minilm,2,1,1,2.9329999815672636,2.9329999815672636,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,movie_reviews
hybrid,minilm,2,0,0,2956.544799992116,2956.544799992116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,movie_reviews
semantic,minilm,2,0,0,2913.1721500016283,2913.1721500016283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,movie_reviews
bm25,minilm,2,1,0,5.253600000287406,5.253600000287406,0.0,0.1,0.25,0.5,0.1,0.05,0.0,0.11859885638464811,5,5,quran_text_audio
hybrid,minilm,2,0,0,3140.340849990025,3140.340849990025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,quran_text_audio
semantic,minilm,2,0,0,2898.0796999967424,2898.0796999967424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,quran_text_audio
bm25,minilm,1,1,0,8.786399994278327,8.786399994278327,0.0,0.2,0.3333333333333333,1.0,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.23463936301137822,3,3,sentiment_analysis
hybrid,minilm,1,0,0,3662.0851999905426,3662.0851999905426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,sentiment_analysis
semantic,minilm,1,0,0,3484.6225999935996,3484.6225999935996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,sentiment_analysis
bm25,minilm,2,2,1,12.889999998151325,12.889999998151325,0.5,0.2,1.0,1.0,0.75,0.75,0.5,0.8154648767857288,1.5,1.5,turkish_product_reviews
hybrid,minilm,2,1,1,4839.74950000993,4839.74950000993,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,turkish_product_reviews
semantic,minilm,2,1,1,8843.380549995345,8843.380549995345,0.5,0.1,0.5,0.5,0.5,0.5,0.5,0.5,1,1,turkish_product_reviews
