method,profile,queries,queries_with_hit,queries_top1_hit,mean_latency_ms,median_latency_ms,mean_precision_at_1,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_mrr,mean_ap_at_k,mean_r_precision,mean_ndcg_at_k,mean_first_relevant_rank,median_first_relevant_rank,category
bm25,english_e5,1,1,1,3.1512000132352114,3.1512000132352114,1.0,0.4,0.6666666666666666,1.0,1.0,0.5555555555555555,0.6666666666666666,0.7039180890341347,1,1,audio_security
hybrid,english_e5,1,1,1,62.334900023415685,62.334900023415685,1.0,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217,1,1,audio_security
semantic,english_e5,1,1,1,53.58639999758452,53.58639999758452,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,1,1,audio_security
bm25,minilm,1,1,1,3.9532999508082867,3.9532999508082867,1.0,0.4,0.6666666666666666,1.0,1.0,0.5555555555555555,0.6666666666666666,0.7039180890341347,1,1,audio_security
hybrid,minilm,1,1,1,38.47769997082651,38.47769997082651,1.0,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217,1,1,audio_security
semantic,minilm,1,1,1,34.56739999819547,34.56739999819547,1.0,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217,1,1,audio_security
bm25,english_e5,1,1,1,1.9165000412613153,1.9165000412613153,1.0,0.4,0.5,1.0,1.0,0.41666666666666663,0.5,0.5855700749881525,1,1,business
hybrid,english_e5,1,1,1,95.94400005880743,95.94400005880743,1.0,0.6,0.75,1.0,1.0,0.75,0.75,0.8318724637288826,1,1,business
semantic,english_e5,1,1,1,78.4049000358209,78.4049000358209,1.0,0.6,0.75,1.0,1.0,0.75,0.75,0.8318724637288826,1,1,business
bm25,minilm,1,1,1,2.4397000670433044,2.4397000670433044,1.0,0.4,0.5,1.0,1.0,0.41666666666666663,0.5,0.5855700749881525,1,1,business
hybrid,minilm,1,1,1,46.62220005411655,46.62220005411655,1.0,0.6,0.75,1.0,1.0,0.75,0.75,0.8318724637288826,1,1,business
semantic,minilm,1,1,1,41.08039999846369,41.08039999846369,1.0,0.6,0.75,1.0,1.0,0.75,0.75,0.8318724637288826,1,1,business
bm25,english_e5,1,1,1,3.7079000612720847,3.7079000612720847,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1,climate_opinion
hybrid,english_e5,1,1,1,90.03160009160638,90.03160009160638,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1,climate_opinion
semantic,english_e5,1,1,1,79.87249991856515,79.87249991856515,1.0,0.2,0.5,1.0,1.0,0.5,0.5,0.6131471927654584,1,1,climate_opinion
