query_id,query,category,method,profile,source_filter,top_k,relevant_count,hits,latency_ms,first_relevant_rank,precision_at_1,precision_at_k,recall_at_k,hit_rate_at_k,mrr,ap_at_k,r_precision,ndcg_at_k,retrieved_refs,hit_refs,benchmark,query_style,language,study_slice,topic
si001,rainy weather data,weather_climate,semantic,minilm_ft,all,5,7,3,164.04150007292628,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.6,0.5714285714285714,0.7227265726449519,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | eeemonts/weatherclimate-data-covid19 | orvile/weather-related-disease-prediction-dataset,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si001,rainy weather data,weather_climate,hybrid,minilm_ft,all,5,7,4,158.89069996774197,1,1.0,0.8,0.5714285714285714,1.0,1.0,0.8,0.7142857142857143,0.8687949224876582,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | eeemonts/weatherclimate-data-covid19,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si002,storm records and forecasts,weather_climate,semantic,minilm_ft,all,5,5,4,196.14160002674907,1,1.0,0.8,0.8,1.0,1.0,0.76,0.8,0.8539316501572937,noaa/noaa-severe-weather-data-inventory | wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | orvile/weather-related-disease-prediction-dataset | nelgiriyewithana/indian-weather-repository-daily-snapshot,noaa/noaa-severe-weather-data-inventory | wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si002,storm records and forecasts,weather_climate,hybrid,minilm_ft,all,5,5,5,208.49360001739115,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si003,flood runoff monitoring,hydrology,semantic,minilm_ft,all,5,3,3,123.5793000087142,1,1.0,0.6,1.0,1.0,1.0,0.9166666666666666,0.6666666666666666,0.9674679834891693,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | catalystcooperative/pudl-project | noaa/noaa-severe-weather-data-inventory | ammarfahmy/farmaciavernile-large-user-data,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si003,flood runoff monitoring,hydrology,hybrid,minilm_ft,all,5,3,3,123.32789995707572,1,1.0,0.6,1.0,1.0,1.0,0.8666666666666667,0.6666666666666666,0.9469024295259745,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | samoilovmikhail/ocean-buoys-data-1980-2025 | catalystcooperative/pudl-project | noaa/noaa-severe-weather-data-inventory,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si004,drought and climate history,climate_variability,semantic,minilm_ft,all,5,5,4,166.45900008734316,1,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m | eeemonts/weatherclimate-data-covid19,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | leopiney/worldclim-version-2-temperature-10m,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si004,drought and climate history,climate_variability,hybrid,minilm_ft,all,5,5,4,158.17589999642223,1,1.0,0.8,0.8,1.0,1.0,0.8,0.8,0.8687949224876582,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | eeemonts/weatherclimate-data-covid19,wafaaelhusseini/major-cities-weather-data | wafaaelhusseini/capital-weather-data-1995-2024 | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si005,sea and ocean conditions data,ocean_climate,semantic,minilm_ft,all,5,1,1,118.06909996084869,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | eeemonts/weatherclimate-data-covid19 | coastalcph/lex_glue | oinuma/japan-meteorological-agency-forecast | antgoldbloom/us-college-sailing-results,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si005,sea and ocean conditions data,ocean_climate,hybrid,minilm_ft,all,5,1,1,145.9131999872625,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | eeemonts/weatherclimate-data-covid19 | asaniczka/public-opinion-on-climate-change-updated-daily | oinuma/japan-meteorological-agency-forecast | jerismeteo/open-meteo-data-kebumen,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
