query_id,query,category,method,profile,source_filter,top_k,relevant_count,hits,latency_ms,first_relevant_rank,precision_at_1,precision_at_k,recall_at_k,hit_rate_at_k,mrr,ap_at_k,r_precision,ndcg_at_k,retrieved_refs,hit_refs,benchmark,query_style,language,study_slice,topic
si001,rainy weather data,weather_climate,semantic,minilm,all,5,7,3,40.388200082816184,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.55,0.7142857142857143,0.6992148198508501,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | orvile/weather-related-disease-prediction-dataset,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si001,rainy weather data,weather_climate,bm25,minilm,all,5,7,4,1.1319000041112304,2,0.0,0.8,0.5714285714285714,1.0,0.5,0.5433333333333333,0.7142857142857143,0.6608397947263839,tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | nelgiriyewithana/indian-weather-repository-daily-snapshot | oinuma/japan-meteorological-agency-forecast | leopiney/worldclim-version-2-temperature-10m,jerismeteo/open-meteo-data-kebumen | nelgiriyewithana/indian-weather-repository-daily-snapshot | oinuma/japan-meteorological-agency-forecast | leopiney/worldclim-version-2-temperature-10m,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si001,rainy weather data,weather_climate,hybrid,minilm,all,5,7,3,28.99799996521324,1,1.0,0.6,0.42857142857142855,1.0,1.0,0.55,0.7142857142857143,0.6992148198508501,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | orvile/weather-related-disease-prediction-dataset,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,en,english_latent_intent,weather_conditions
si002,storm records and forecasts,weather_climate,semantic,minilm,all,5,5,2,30.28259996790439,1,1.0,0.4,0.4,1.0,1.0,0.4,0.4,0.5531464700081437,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | orvile/weather-related-disease-prediction-dataset | leopiney/worldclim-version-2-temperature-10m,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si002,storm records and forecasts,weather_climate,bm25,minilm,all,5,5,4,1.2625000672414899,1,1.0,0.8,0.8,1.0,1.0,0.76,0.8,0.8539316501572937,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | nelgiriyewithana/indian-weather-repository-daily-snapshot | tombutton/uk-weather-by-month | wafaaelhusseini/capital-weather-data-1995-2024,noaa/noaa-severe-weather-data-inventory | oinuma/japan-meteorological-agency-forecast | nelgiriyewithana/indian-weather-repository-daily-snapshot | wafaaelhusseini/capital-weather-data-1995-2024,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si002,storm records and forecasts,weather_climate,hybrid,minilm,all,5,5,2,31.724500004202127,1,1.0,0.4,0.4,1.0,1.0,0.3333333333333333,0.4,0.5087403079104241,noaa/noaa-severe-weather-data-inventory | leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | orvile/weather-related-disease-prediction-dataset | tombutton/uk-weather-by-month,noaa/noaa-severe-weather-data-inventory | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,storm_forecast_history
si003,flood runoff monitoring,hydrology,semantic,minilm,all,5,3,3,30.19959991797805,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory | catalystcooperative/pudl-project | Sakil/DPO_dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si003,flood runoff monitoring,hydrology,bm25,minilm,all,5,3,2,0.5291999550536275,1,1.0,0.4,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666,0.7653606369886217,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | samoilovmikhail/ocean-buoys-data-1980-2025 | g3rnosh/sensors-senfi-iot | ksabishek/remote-patient-monitoring-india-dataset,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si003,flood runoff monitoring,hydrology,hybrid,minilm,all,5,3,3,30.110899941064417,1,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory | catalystcooperative/pudl-project | samoilovmikhail/ocean-buoys-data-1980-2025,mahmoudelshabrawy/runoff-dataset | suthcong/water-levels-of-rivers-in-vietnam | noaa/noaa-severe-weather-data-inventory,semantic_intent,latent_intent,en,english_latent_intent,flood_hydrology
si004,drought and climate history,climate_variability,semantic,minilm,all,5,5,3,31.784399994648993,1,1.0,0.6,0.6,1.0,1.0,0.4833333333333333,0.6,0.6548086577531307,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | noaa/noaa-severe-weather-data-inventory,leopiney/worldclim-version-2-temperature-10m | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si004,drought and climate history,climate_variability,bm25,minilm,all,5,5,3,1.6499999910593033,1,1.0,0.6,0.6,1.0,1.0,0.6,0.6,0.7227265726449519,leopiney/worldclim-version-2-temperature-10m | wafaaelhusseini/capital-weather-data-1995-2024 | wafaaelhusseini/major-cities-weather-data | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen,leopiney/worldclim-version-2-temperature-10m | wafaaelhusseini/capital-weather-data-1995-2024 | wafaaelhusseini/major-cities-weather-data,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si004,drought and climate history,climate_variability,hybrid,minilm,all,5,5,3,32.54679997917265,1,1.0,0.6,0.6,1.0,1.0,0.4833333333333333,0.6,0.6548086577531307,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot | jerismeteo/open-meteo-data-kebumen,leopiney/worldclim-version-2-temperature-10m | wafaaelhusseini/capital-weather-data-1995-2024 | nelgiriyewithana/indian-weather-repository-daily-snapshot,semantic_intent,latent_intent,en,english_latent_intent,drought_climate_history
si005,sea and ocean conditions data,ocean_climate,semantic,minilm,all,5,1,1,32.244900008663535,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | leopiney/worldclim-version-2-temperature-10m | jerismeteo/open-meteo-data-kebumen | tombutton/uk-weather-by-month | sankalp102/albone-dataset,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si005,sea and ocean conditions data,ocean_climate,bm25,minilm,all,5,1,1,2.4201999185606837,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | nelgiriyewithana/indian-weather-repository-daily-snapshot | eeemonts/weatherclimate-data-covid19 | orvile/weather-related-disease-prediction-dataset | jerismeteo/open-meteo-data-kebumen,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si005,sea and ocean conditions data,ocean_climate,hybrid,minilm,all,5,1,1,34.76599999703467,1,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,samoilovmikhail/ocean-buoys-data-1980-2025 | leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | jerismeteo/open-meteo-data-kebumen | nelgiriyewithana/indian-weather-repository-daily-snapshot,samoilovmikhail/ocean-buoys-data-1980-2025,semantic_intent,latent_intent,en,english_latent_intent,marine_proxy
si006,yağmurlu hava verisi,weather_climate,semantic,minilm,all,5,7,4,30.012000002898276,1,1.0,0.8,0.5714285714285714,1.0,1.0,0.6433333333333333,0.8571428571428571,0.7860137352654724,leopiney/worldclim-version-2-temperature-10m | tombutton/uk-weather-by-month | nelgiriyewithana/indian-weather-repository-daily-snapshot | noaa/noaa-severe-weather-data-inventory | jerismeteo/open-meteo-data-kebumen,leopiney/worldclim-version-2-temperature-10m | nelgiriyewithana/indian-weather-repository-daily-snapshot | noaa/noaa-severe-weather-data-inventory | jerismeteo/open-meteo-data-kebumen,semantic_intent,latent_intent,tr,turkish_latent_intent,weather_conditions
