query_id,query,category,method,profile,source_filter,top_k,relevant_count,hits,precision_at_k,recall_at_k,mrr,ndcg_at_k,retrieved_refs,hit_refs
tr001,deprem verisi,earth_science,semantic,multilingual,all,5,3,0,0.0,0.0,0.0,0.0,teyler/epstein-files-20k | noaa/noaa-severe-weather-data-inventory | deepseek-ai/DeepSeek-Prover-V1 | sudalairajkumar/defi-dataset-from-defillama | deepseek-ai/DeepSeek-ProverBench,
tr001,deprem verisi,earth_science,bm25,multilingual,all,5,3,0,0.0,0.0,0.0,0.0,,
tr001,deprem verisi,earth_science,hybrid,multilingual,all,5,3,0,0.0,0.0,0.0,0.0,teyler/epstein-files-20k | noaa/noaa-severe-weather-data-inventory | deepseek-ai/DeepSeek-Prover-V1 | sudalairajkumar/defi-dataset-from-defillama | deepseek-ai/DeepSeek-ProverBench,
tr002,ses deepfake tespiti,audio_security,semantic,multilingual,all,5,3,2,0.4,0.6666666666666666,0.3333333333333333,0.4367467095119258,deepseek-ai/DeepSeek-ProverBench | deepseek-ai/DeepSeek-Prover-V1 | ahmedelbanby/faceforensicsplusplus-c23-deepfakebench-structure | abdallamohamed312/in-the-wild-audio-deepfake | alerium/image-forgery-fau,ahmedelbanby/faceforensicsplusplus-c23-deepfakebench-structure | abdallamohamed312/in-the-wild-audio-deepfake
tr002,ses deepfake tespiti,audio_security,bm25,multilingual,all,5,3,3,0.6,1.0,1.0,1.0,ahmedelbanby/faceforensicsplusplus-c23-deepfakebench-structure | abdallamohamed312/in-the-wild-audio-deepfake | nallaguntlavamshi/phonemedf,ahmedelbanby/faceforensicsplusplus-c23-deepfakebench-structure | abdallamohamed312/in-the-wild-audio-deepfake | nallaguntlavamshi/phonemedf
tr002,ses deepfake tespiti,audio_security,hybrid,multilingual,all,5,3,2,0.4,0.6666666666666666,1.0,0.7653606369886217,ahmedelbanby/faceforensicsplusplus-c23-deepfakebench-structure | abdallamohamed312/in-the-wild-audio-deepfake | deepseek-ai/DeepSeek-ProverBench | deepseek-ai/DeepSeek-Prover-V1 | alerium/image-forgery-fau,ahmedelbanby/faceforensicsplusplus-c23-deepfakebench-structure | abdallamohamed312/in-the-wild-audio-deepfake
tr003,hisse senedi fiyat gecmisi,finance,semantic,multilingual,all,5,6,0,0.0,0.0,0.0,0.0,Anthropic/EconomicIndex | mitsuyasuhoshino/jepx-dayaheadmarket | kr-cen/MICo-150K | ravishkumarcs23m055/updated-tep-weights | hugowjd/densenet-weights-for-rsna-2024,
tr003,hisse senedi fiyat gecmisi,finance,bm25,multilingual,all,5,6,0,0.0,0.0,0.0,0.0,,
tr003,hisse senedi fiyat gecmisi,finance,hybrid,multilingual,all,5,6,0,0.0,0.0,0.0,0.0,Anthropic/EconomicIndex | mitsuyasuhoshino/jepx-dayaheadmarket | kr-cen/MICo-150K | ravishkumarcs23m055/updated-tep-weights | hugowjd/densenet-weights-for-rsna-2024,
tr004,film yorum duygu analizi,nlp_sentiment,semantic,multilingual,all,5,3,0,0.0,0.0,0.0,0.0,furkangozukara/turkish-product-reviews | fthbrmnby/turkish_product_reviews | alanvourch/tmdb-movies-daily-updates | intissarziani50/i3d-attention-explosion | umar47/deberta-pii-model,
